start_airport,start_icao,end_airport,end_icao,route_name,route_passengers,start_pax_total,end_pax_total,start_pax_pct,year,data_quality
Frankfurt Main,EDDF,Flesland,ENBR,Frankfurt Main - Flesland,NA,70066509,NA,NA,2019,missing_end_pax
Frankfurt Main,EDDF,Gardermoen,ENGM,Frankfurt Main - Gardermoen,538163,70066509,NA,0.77,2019,missing_end_pax
Frankfurt Main,EDDF,Sola,ENZV,Frankfurt Main - Sola,NA,70066509,NA,NA,2019,missing_end_pax
Frankfurt Main,EDDF,Faro International,LPFR,Frankfurt Main - Faro International,228674,70066509,NA,0.33,2019,missing_end_pax
Frankfurt Main,EDDF,Porto,LPPR,Frankfurt Main - Porto,450466,70066509,NA,0.64,2019,missing_end_pax
Frankfurt Main,EDDF,Lisboa,LPPT,Frankfurt Main - Lisboa,853113,70066509,NA,1.22,2019,missing_end_pax
Frankfurt Main,EDDF,Beograd,LYBE,Frankfurt Main - Beograd,260250,70066509,NA,0.37,2019,missing_end_pax
Frankfurt Main,EDDF,Landvetter,ESGG,Frankfurt Main - Landvetter,401681,70066509,NA,0.57,2019,missing_end_pax
Frankfurt Main,EDDF,Arlanda,ESSA,Frankfurt Main - Arlanda,693393,70066509,NA,0.99,2019,missing_end_pax
Frankfurt Main,EDDF,Ljubljana,LJLJ,Frankfurt Main - Ljubljana,127230,70066509,NA,0.18,2019,missing_end_pax
Frankfurt Main,EDDF,Birmingham,EGBB,Frankfurt Main - Birmingham,316971,70066509,11271854,0.45,2019,complete
Frankfurt Main,EDDF,Manchester,EGCC,Frankfurt Main - Manchester,510511,70066509,26895408,0.73,2019,complete
Frankfurt Main,EDDF,Gatwick,EGKK,Frankfurt Main - Gatwick,55456541.70916032,70066509,43892982,NA,2019,complete
Frankfurt Main,EDDF,City,EGLC,Frankfurt Main - City,267740,70066509,5121684,0.38,2019,complete
Frankfurt Main,EDDF,Heathrow,EGLL,Frankfurt Main - Heathrow,1541211,70066509,80788471,2.2,2019,complete
Frankfurt Main,EDDF,Dyce,EGPD,Frankfurt Main - Dyce,12636692.138414506,70066509,2279063,NA,2019,complete
Frankfurt Main,EDDF,Glasgow International,EGPF,Frankfurt Main - Glasgow International,93711,70066509,8396045,0.13,2019,complete
Frankfurt Main,EDDF,Edinburgh,EGPH,Frankfurt Main - Edinburgh,196165,70066509,14510779,0.28,2019,complete
Frankfurt Main,EDDF,Stansted,EGSS,Frankfurt Main - Stansted,256227,70066509,27745806,0.37,2019,complete
Franz Josef Strauss,EDDM,Tirana Rinas,LATI,Franz Josef Strauss - Tirana Rinas,NA,47266254,NA,NA,2019,missing_end_pax
Franz Josef Strauss,EDDM,Graz,LOWG,Franz Josef Strauss - Graz,224874,47266254,899161,0.48,2019,complete
Franz Josef Strauss,EDDM,Schwechat,LOWW,Franz Josef Strauss - Schwechat,529680,47266254,31258901,1.12,2019,complete
Franz Josef Strauss,EDDM,Sarajevo,LQSA,Franz Josef Strauss - Sarajevo,82272,47266254,NA,0.17,2019,missing_end_pax
Franz Josef Strauss,EDDM,Bale Mulhouse,LFSB,Franz Josef Strauss - Bale Mulhouse,177116,47266254,8271471,0.37,2019,complete
Franz Josef Strauss,EDDM,Bale Mulhouse,LFSB,Franz Josef Strauss - Bale Mulhouse,177116,47266254,562406,0.37,2019,complete
Franz Josef Strauss,EDDM,Geneve Cointrin,LSGG,Franz Josef Strauss - Geneve Cointrin,262328,47266254,17742225,0.56,2019,complete
Franz Josef Strauss,EDDM,Zurich,LSZH,Franz Josef Strauss - Zurich,373599,47266254,31292970,0.79,2019,complete
Franz Josef Strauss,EDDM,Schonefeld,EDDB,Franz Josef Strauss - Schonefeld,22831237.135350592,47266254,11028278,NA,2019,complete
Franz Josef Strauss,EDDM,Berlin Brandenburg Willy Brandt,EDDB,Franz Josef Strauss - Berlin Brandenburg Willy Brandt,22831237.135350592,47266254,11028278,NA,2019,complete
Franz Josef Strauss,EDDM,Dresden International,EDDC,Franz Josef Strauss - Dresden International,209924,47266254,1420208,0.44,2019,complete
Franz Josef Strauss,EDDM,Munster Osnabruck,EDDG,Franz Josef Strauss - Munster Osnabruck,233712,47266254,715527,0.49,2019,complete
Franz Josef Strauss,EDDM,Hamburg,EDDH,Franz Josef Strauss - Hamburg,1739939,47266254,16279030,3.68,2019,complete
Franz Josef Strauss,EDDM,Koln Bonn,EDDK,Franz Josef Strauss - Koln Bonn,1016763,47266254,10641348,2.15,2019,complete
Franz Josef Strauss,EDDM,Dusseldorf,EDDL,Franz Josef Strauss - Dusseldorf,1488322,47266254,24588161,3.15,2019,complete
Franz Josef Strauss,EDDM,Nurnberg,EDDN,Franz Josef Strauss - Nurnberg,128044,47266254,3486586,0.27,2019,complete
Franz Josef Strauss,EDDM,Leipzig Halle,EDDP,Franz Josef Strauss - Leipzig Halle,169903,47266254,2217214,0.36,2019,complete
Franz Josef Strauss,EDDM,Stuttgart,EDDS,Franz Josef Strauss - Stuttgart,193517,47266254,12275312,0.41,2019,complete
Franz Josef Strauss,EDDM,Tegel,EDDT,Franz Josef Strauss - Tegel,1934225,47266254,24008455,4.09,2019,complete
Franz Josef Strauss,EDDM,Hannover,EDDV,Franz Josef Strauss - Hannover,541004,47266254,5908901,1.14,2019,complete
Franz Josef Strauss,EDDM,Neuenland,EDDW,Franz Josef Strauss - Neuenland,413075,47266254,2196047,0.87,2019,complete
Franz Josef Strauss,EDDM,Paderborn Lippstadt,EDLP,Franz Josef Strauss - Paderborn Lippstadt,127119,47266254,461948,0.27,2019,complete
Franz Josef Strauss,EDDM,Niederrhein,EDLV,Franz Josef Strauss - Niederrhein,7617429.688992869,47266254,1227625,NA,2019,complete
Franz Josef Strauss,EDDM,Dortmund,EDLW,Franz Josef Strauss - Dortmund,187993,47266254,2691042,0.4,2019,complete
Franz Josef Strauss,EDDM,HBF RAILWAY STATION,EDLW,Franz Josef Strauss - HBF RAILWAY STATION,187993,47266254,2691042,0.4,2019,complete
Franz Josef Strauss,EDDM,Billund,EKBI,Franz Josef Strauss - Billund,11856894.92188465,47266254,2974341,NA,2019,complete
